word	pos
oven	noun
toaster	noun
refrigerator	noun
tv	noun
cell phone	noun
laptop	noun
chair	noun
couch	noun
bench	noun
cake	noun
donut	noun
sandwich	noun
hot dog	noun
pizza	noun
banana	noun
apple	noun
orange	noun
bowl	noun
cup	noun
fork	noun
knife	noun
spoon	noun
snowboard	noun
surfboard	noun
skateboard	noun
backpack	noun
handbag	noun
suitcase	noun
elephant	noun
bear	noun
zebra	noun
giraffe	noun
cat	noun
dog	noun
cow	noun
horse	noun
sheep	noun
bus	noun
truck	noun
car	noun
bicycle	noun
motorcycle	noun
